id,name,code,enabled,version,source,initialized,create_date,update_date,discriminator_type
1,おすすめ商品管理プラグイン,Recommend42,0,4.3.0,2403,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
2,Coupon Plugin for EC-CUBE42,Coupon42,0,4.3.0,2401,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
3,メールマガジンプラグイン,MailMagazine42,0,4.3.0,2404,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
4,売上集計プラグイン,SalesReport42,0,4.3.0,2406,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
5,関連商品プラグイン,RelatedProduct42,0,4.3.0,2398,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
6,Securitychecker42,Securitychecker42,0,4.3.1,2402,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
7,商品レビュー管理プラグイン,ProductReview42,0,4.3.0,2405,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
8,Web API,Api42,0,4.3.1,2400,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
9,Site Kit プラグイン,SiteKit42,0,4.3.0,2399,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
10,Amazon Payプラグイン(V2対応バンドル版),AmazonPayV2_42_Bundle,0,4.3.1,3226,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
11,EC-CUBEペイメントPlus決済プラグイン(4.2/4.3系),EccubePaymentLite42,0,4.4.1,2667,0,2021-08-13 00:00:00,2021-08-13 00:00:00,plugin
